"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 27 07:09:23 GMT 2024","Tue Aug 27 07:09:24 GMT 2024","738","","main.spec.ts","","","","Checking Dashboard Overview Details",""
"passed","Tue Aug 27 07:10:06 GMT 2024","Tue Aug 27 07:10:07 GMT 2024","1447","","main.spec.ts","","","","Paddle Integration",""
"passed","Tue Aug 27 07:09:47 GMT 2024","Tue Aug 27 07:09:49 GMT 2024","1446","","main.spec.ts","","","","Order Details",""
"passed","Tue Aug 27 07:09:29 GMT 2024","Tue Aug 27 07:09:32 GMT 2024","3207","","main.spec.ts","","","","Theme Update",""
"passed","Tue Aug 27 07:09:14 GMT 2024","Tue Aug 27 07:09:15 GMT 2024","798","","main.spec.ts","","","","Get all the Plugins List",""
"passed","Tue Aug 27 07:10:03 GMT 2024","Tue Aug 27 07:10:06 GMT 2024","2525","","main.spec.ts","","","","FastSpring Integration",""
"passed","Tue Aug 27 07:09:43 GMT 2024","Tue Aug 27 07:09:45 GMT 2024","2263","","main.spec.ts","","","","Single variation & One Time Payment",""
"passed","Tue Aug 27 07:09:39 GMT 2024","Tue Aug 27 07:09:41 GMT 2024","1456","","main.spec.ts","","","","Products Hash",""
"passed","Tue Aug 27 07:09:27 GMT 2024","Tue Aug 27 07:09:29 GMT 2024","2064","","main.spec.ts","","","","Premium Theme Create",""
"passed","Tue Aug 27 07:09:46 GMT 2024","Tue Aug 27 07:09:47 GMT 2024","1526","","main.spec.ts","","","","Order Create",""
"passed","Tue Aug 27 07:09:41 GMT 2024","Tue Aug 27 07:09:43 GMT 2024","2333","","main.spec.ts","","","","License Mapping",""
"passed","Tue Aug 27 07:09:19 GMT 2024","Tue Aug 27 07:09:23 GMT 2024","4053","","main.spec.ts","","","","Plugin Update",""
"passed","Tue Aug 27 07:09:25 GMT 2024","Tue Aug 27 07:09:27 GMT 2024","2023","","main.spec.ts","","","","Free Theme Create",""
"passed","Tue Aug 27 07:09:15 GMT 2024","Tue Aug 27 07:09:17 GMT 2024","2154","","main.spec.ts","","","","Free Plugin Create",""
"passed","Tue Aug 27 07:09:36 GMT 2024","Tue Aug 27 07:09:38 GMT 2024","2872","","main.spec.ts","","","","Bundle Create",""
"passed","Tue Aug 27 07:09:38 GMT 2024","Tue Aug 27 07:09:39 GMT 2024","740","","main.spec.ts","","","","Products List",""
"passed","Tue Aug 27 07:09:17 GMT 2024","Tue Aug 27 07:09:19 GMT 2024","2153","","main.spec.ts","","","","Premium Plugin Create",""
"passed","Tue Aug 27 07:10:09 GMT 2024","Tue Aug 27 07:10:19 GMT 2024","10084","","main.spec.ts","","","","Prodcut Delete",""
"passed","Tue Aug 27 07:09:12 GMT 2024","Tue Aug 27 07:09:13 GMT 2024","881","","main.spec.ts","","","","Login",""
"passed","Tue Aug 27 07:09:52 GMT 2024","Tue Aug 27 07:10:02 GMT 2024","9814","","main.spec.ts","","","","Mailchimp Integration",""
"passed","Tue Aug 27 07:09:32 GMT 2024","Tue Aug 27 07:09:36 GMT 2024","3703","","main.spec.ts","","","","Release Create",""
"passed","Tue Aug 27 07:09:50 GMT 2024","Tue Aug 27 07:09:52 GMT 2024","1491","","main.spec.ts","","","","License Activation",""
"passed","Tue Aug 27 07:10:02 GMT 2024","Tue Aug 27 07:10:03 GMT 2024","1757","","main.spec.ts","","","","weMail Integration",""
"passed","Tue Aug 27 07:09:45 GMT 2024","Tue Aug 27 07:09:46 GMT 2024","723","","main.spec.ts","","","","Selling Website & Product Mapping",""
"passed","Tue Aug 27 07:09:24 GMT 2024","Tue Aug 27 07:09:25 GMT 2024","774","","main.spec.ts","","","","Get all the Themes List",""
"passed","Tue Aug 27 07:09:13 GMT 2024","Tue Aug 27 07:09:14 GMT 2024","775","","main.spec.ts","","","","Getting Dashboard Overview Details",""
"passed","Tue Aug 27 07:10:07 GMT 2024","Tue Aug 27 07:10:09 GMT 2024","1447","","main.spec.ts","","","","Gumroad Integration",""
"passed","Tue Aug 27 07:09:49 GMT 2024","Tue Aug 27 07:09:50 GMT 2024","1473","","main.spec.ts","","","","License Key",""
